"null","Sourced","Placed","References","Value","Footprint","Link","Description","Manufacturer","Part Number (Manufacturer)","Part Number (Vendor)","Vendor","Quantity"
1,"","","C701, C702, C704, C705, C706, C707, C708, C709, C710, C1001, C1002","4u7F_16V","C_0805_2012Metric","https://www.digikey.ca/en/products/detail/murata-electronics/GRM21BR71C475KE51L/6606095","4.7 µF ±10% 16V Ceramic Capacitor X7R 0805 (2012 Metric)","Murata Electronics","GRM21BR71C475KE51L","490-14466-2-ND","Digikey",11
2,"","","C302, C401, C501, C601, C801, C802, C901","1uF_10V_X7R","C_0402_1005Metric","https://www.digikey.ca/en/products/detail/murata-electronics/GRM155Z71A105KE01D/13905035","1 µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)","Murata Electronics","GRM155Z71A105KE01D","490-GRM155Z71A105KE01DTR-ND","Digikey",7
3,"","","C301, C303, C703","100nF_50V","C_0402_1005Metric","https://www.digikey.ca/en/products/detail/murata-electronics/GRM155R71H104KE14J/4905180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","Murata Electronics","GRM155R71H104KE14J","490-13342-2-ND","Digikey",3
4,"","","R301, R401, R402, R403, R501, R502, R505, R506, R507, R508, R509, R601, R703, R801, R802, R901, R1003, R1005","10kR_1/16W_1%","R_0402_1005Metric","https://www.digikey.ca/en/products/detail/bourns-inc/CR0402-FX-1002GLF/3593192","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film","Bourns Inc.","CR0402-FX-1002GLF","CR0402-FX-1002GLFTR-ND","Digikey",18
5,"","","R503, R504, R510, R511","27R_1/16W_1%","R_0402_1005Metric","https://www.digikey.ca/en/products/detail/bourns-inc/CR0402-FX-27R0GLF/3783280","27 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film","Bourns Inc.","CR0402-FX-27R0GLF","CR0402-FX-27R0GLFTR-ND","Digikey",4
6,"","","R302, R702, R1004","470R_1/16W_1%","R_0402_1005Metric","https://www.digikey.ca/en/products/detail/bourns-inc/CR0402-FX-4700GLF/3783391","470 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film","Bourns Inc.","CR0402-FX-4700GLF","CR0402-FX-4700GLFTR-ND","Digikey",3
7,"","","R1001, R1101, R1102","100R_1/10W_1%","R_0402_1005Metric","https://www.digikey.ca/en/products/detail/koa-speer-electronics-inc/RK73H1ETTP1000F/9844157","100 Ohms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film","KOA Speer Electronics, Inc.","RK73H1ETTP1000F","2019-RK73H1ETTP1000FTR-ND","Digikey",3
8,"","","R303","1R_1/4W_1%","R_0805_2012Metric","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCP0805FTD1R00/2240195","1 Ohms ±1% 0.25W, 1/4W Chip Resistor 0805 (2012 Metric) Anti-Sulfur Thin Film","Stackpole Electronics Inc","RNCP0805FTD1R00","RNCP0805FTD1R00TR-ND","Digikey",1
9,"","","R701","0.47R_1/8W_5%","R_0805_2012Metric","https://www.digikey.ca/en/products/detail/cts-resistor-products/73L3R47J/1543464","470 mOhms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Current Sense Thick Film","CTS Resistor Products","73L3R47J","73L3R47JTR-ND","Digikey",1
10,"","","R1002","30kR_1/16W_1%","R_0402_1005Metric","https://www.digikey.ca/en/products/detail/bourns-inc/CR0402-FX-3002GLF/3783296","30 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thick Film","Bourns Inc.","CR0402-FX-3002GLF","CR0402-FX-3002GLFTR-ND","Digikey",1
11,"","","L701","10uH_600mA","IND_CDRH3D11HPNP-100NC_SUM","https://www.digikey.ca/en/products/detail/sumida-america-inc/CDRH3D11HPNP-100NC/3947130","10 µH Shielded Inductor 600 mA 413mOhm Max Nonstandard","Sumida America Components Inc.","CDRH3D11HPNP-100NC","308-1966-2-ND","Digikey",1
12,"","","D501, D502, D503, D504, D1001","TVS_6.5V_3A","CR_7PCT_L3F_TOS","https://www.digikey.ca/en/products/detail/good-ark-semiconductor/GSEWT5B003/18667485","20.5V Clamp 3A (8/20µs) Ipp Tvs Diode Surface Mount SOD-882","Good-Ark Semiconductor","GSEWT5B003","4786-GSEWT5B003TR-ND","Digikey",5
13,"","","D701, D702, D703","SS2040FL","D_SOD-123F","https://www.digikey.ca/en/products/detail/panjit-international-inc/SS2040FL-R1-00001/14660034","Diode 40 V 2A Surface Mount SOD-123FL","Panjit International Inc.","SS2040FL_R1_00001","3757-SS2040FL_R1_00001TR-ND","Digikey",3
14,"","","U301","PIC16F15223_8BIT","SO-14_3.9x8.65mm_P1.27mm","https://www.digikey.ca/en/products/detail/microchip-technology/PIC16F15223-E-SL/12807315","PIC PIC® 16F, Functional Safety (FuSa) Microcontroller IC 8-Bit 32MHz 3.5KB (2K x 14) FLASH 14-SOIC","Microchip Technology","PIC16F15223-E/SL","150-PIC16F15223-E/SL-ND","Digikey",1
15,"","","U401","W25Q64JVSSIQ","SOIC-8_5.275x5.275mm_P1.27mm","https://www.digikey.ca/en/products/detail/winbond-electronics/W25Q64JVSSIQ/5803992","FLASH - NOR Memory IC 64Mbit SPI - Quad I/O 133 MHz 8-SOIC","Winbond Electronics","W25Q64JVSSIQ","W25Q64JVSSIQ-ND","Digikey",1
16,"","","U501","SN74HCS32PWR","TSSOP-14_4.4x5mm_P0.65mm","https://www.digikey.ca/en/products/detail/texas-instruments/SN74HCS32PWR/11625401","OR Gate IC 4 Channel Schmitt Trigger Input 14-TSSOP","Texas Instruments","SN74HCS32PWR","296-SN74HCS32PWRTR-ND","Digikey",1
17,"","","U601","74VHC164FT","TSSOP-14_4.4x5mm_P0.65mm","https://www.digikey.ca/en/products/detail/toshiba-semiconductor-and-storage/74VHC164FT/5019930","Shift Shift Register 1 Element 8 Bit 14-TSSOP","Toshiba Semiconductor and Storage","74VHC164FT","264-74VHC164FTTR-ND","Digikey",1
18,"","","U901","MCP9700T-E/TT","SOT-23","https://www.digikey.ca/en/products/detail/microchip-technology/MCP9700T-E-TT/1212510","Temperature Sensor Analog, Local -40°C ~ 125°C 10mV/°C SOT-23-3","Microchip Technology","MCP9700T-E/TT","MCP9700T-E/TTTR-ND","Digikey",1
19,"","","U1001","RT9526AGE","SOT-23-6","https://www.digikey.ca/en/products/detail/richtek-usa-inc/RT9526AGE/5820110","Charger IC Lithium Ion SOT-23-6","Richtek USA Inc.","RT9526AGE","1028-1359-2-ND","Digikey",1
20,"","","F1001","100mA_15V_0.5R","Fuse_0603_1608Metric","https://www.digikey.ca/en/products/detail/eaton-electronics-division/PTS060315V010/15193506","PTC Resettable Fuse 15V 100 mA Ih Surface Mount 0603 (1608 Metric), Concave","Eaton - Electronics Division","PTS060315V010","283-PTS060315V010TR-ND","Digikey",1
21,"","","SW801, SW802","SPST-NO","SW_Tactile_SPST_Angled_PTS645Vx31-2LFS","https://www.digikey.ca/en/products/detail/c-k/PTS645VH31-2-LFS/1146771","Tactile Switch SPST-NO Side Actuated Through Hole, Right Angle","C&K","PTS645VH31-2 LFS","CKN9118-ND","Digikey",2
22,"","","LED301, LED1001","RED_2V","LED_0402_1005Metric","https://www.digikey.ca/en/products/detail/harvatek-corporation/B2841USD-20D001014U1930/16729514?s=N4IgTCBcDaIEJgBwBYCMBVAygEQLRgAZsCDVTl1UBOAZgJAF0BfIA","Red 624nm LED Indication - Discrete 2V 0402 (1005 Metric)","Harvatek Corporation","B2841USD-20D001014U1930","3147-B2841USD-20D001014U1930TR-ND","Digikey",2
23,"","","Q702, Q1001","SSM3J117TU,LF","UFM_TOS","https://www.digikey.ca/en/products/detail/toshiba-semiconductor-and-storage/SSM3J117TU-LF/6679146","P-Channel 30 V 2A (Ta) 500mW (Ta) Surface Mount UFM","Toshiba Semiconductor and Storage","SSM3J117TU,LF","SSM3J117TULFTR-ND","Digikey",2
24,"","","Q701","AS3400","SOT-23","https://www.digikey.ca/en/products/detail/anbon-semiconductor-int-l-limited/AS3400/16708476","N-Channel 30 V 5.6A (Ta) 1.2W (Ta) Surface Mount SOT-23","ANBON SEMICONDUCTOR (INT'L) LIMITED","AS3400","4530-AS3400TR-ND","Digikey",1
25,"","","J1002, J1101, J1102","HDR_2POS_VERT","PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.ca/en/products/detail/adam-tech/PH1-02-UA/9830266","Connector Header Through Hole 2 position 0.100"" (2.54mm)","Adam Tech","PH1-02-UA","2057-PH1-02-UA-ND","Digikey",3
26,"","","J301","HDR_4POS_VERT","PinHeader_1x04_P2.54mm_Vertical","https://www.digikey.ca/en/products/detail/adam-tech/PH1-04-UA/9829296","Connector Header Through Hole 4 position 0.100"" (2.54mm)","Adam Tech","PH1-04-UA","2057-PH1-04-UA-ND","Digikey",1
27,"","","J501","HDR_8POS_RA","PinHeader_1x08_P2.54mm_Horizontal","https://www.digikey.ca/en/products/detail/adam-tech/PH1RB-08-UA/9831008","Connector Header Through Hole, Right Angle 8 position 0.100"" (2.54mm)","Adam Tech","PH1RB-08-UA","2057-PH1RB-08-UA-ND","Digikey",1
28,"","","J701","FPC_24POS_BOTTOM_0.5P","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal","https://www.digikey.ca/en/products/detail/cvilux-usa/CF35242D0RD-NH/15793069","24 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle","Cvilux USA","CF35242D0RD-NH","2987-CF35242D0RD-NHTR-ND","Digikey",1
29,"","","J1001","USB_microB_RA","USB_Micro-B_Amphenol_10118194_Horizontal","https://www.digikey.ca/en/products/detail/amphenol-cs-fci/10118194-0001LF/2785389","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole","Adam Tech","10118194-0001LF","2057-PH1RB-08-UA-ND","Digikey",1
